id,registration,make,model,primaryColour,fuelType
53898840,BO55MYD,FORD,RANGER,White,Diesel
54054461,BO55NEY,"LAND ROVER",DEFENDER,Grey,Diesel
54125908,BO55PAF,"LAND ROVER",DISCOVERY,Black,Diesel
54128746,BO55MMO,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
54129080,BO55PHO,MERCEDES-BENZ,VITO,Silver,Diesel
54134323,BO55RPR,MERCEDES-BENZ,SPRINTER,White,Diesel
54136071,BO55WFM,MCLAREN,570,Orange,Petrol
54144330,BO55REC,"LAND ROVER","DEFENDER S D MHEV AUTO",White,Diesel
54177957,BO55BPJ,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
54184866,BO55MCT,NISSAN,NAVARA,Yellow,Diesel
54247193,BO55JPV,FORD,TRANSIT,White,Diesel
54254647,BO55GKJ,AUDI,A5,White,Diesel
54276074,BO55SEV,BMW,"3 SERIES",Black,Diesel
54401985,BO55XXH,AUDI,A5,Blue,Petrol
54436286,BO55WBB,FORD,TRANSIT,Silver,Diesel
54438962,BO55JXL,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
54458235,BO55JZM,AUDI,A3,Red,Diesel
54484674,BO55TPW,BMW,"3 SERIES",Black,Petrol
54491942,BO55SMW,TOYOTA,HILUX,White,Diesel
54499399,BO55LUE,FIAT,500,Pink,Petrol
54518568,BO55XLG,"LAND ROVER","DISCOVERY HSE SD6 AUTO",Blue,Diesel
54550733,BO55EHA,BMW,"7 SERIES",Grey,Petrol
54591468,BO55HYM,MERCEDES-BENZ,HYMER,Silver,Diesel
54618335,BO55GCH,FORD,KUGA,Grey,Diesel
54638333,BO55AFO,"LAND ROVER","RANGE ROVER EVOQUE",White,Diesel
54654897,BO55OYD,VOLKSWAGEN,GOLF,White,Diesel
54663094,BO55BBA,PORSCHE,CAYENNE,Black,Diesel
54681240,BO55DAL,MAZDA,3,Red,Petrol
54681790,BO55GZR,CITROEN,BERLINGO,White,Diesel
54699753,BO55KEN,BMW,X1,Blue,Diesel
54712518,BO55CTR,HONDA,CIVIC,Grey,Petrol
54717012,BO55BRA,SKODA,FABIA,Red,Petrol
54780945,BO55GKP,AUDI,Q3,Grey,Petrol
54836577,BO55MCG,VOLKSWAGEN,TOUAREG,Black,Diesel
54837673,BO55WOD,MERCEDES-BENZ,A-CLASS,Black,Petrol
54842518,BO55JDR,AUDI,TT,White,Petrol
54862542,BO55MVG,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
54892801,BO55NUG,MERCEDES-BENZ,E,White,Diesel
54898694,BO55ELE,BMW,"3 SERIES",Blue,Diesel
54908730,BO55ZEP,BMW,420,White,Diesel
55186509,BO55TRO,VOLKSWAGEN,AMAROK,Beige,Diesel
55206062,BO55CCP,"LAND ROVER","RANGE ROVER",White,Diesel
55223355,BO55MRW,"LAND ROVER","RANGE ROVER",Blue,Diesel
55234191,BO55WDH,FORD,TRANSIT,White,Diesel
55242534,BO55JWK,FORD,FIESTA,White,Petrol
55256752,BO55JWY,YAMAHA,"BWS 125",Black,Petrol
55275355,BO55ECN,TOYOTA,HILUX,Grey,Diesel
55276985,BO55YSL,AUDI,Q7,Black,Diesel
55326704,BO55NGM,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
55327219,BO55LNX,TESLA,"MODEL X",Grey,Electric
55329957,BO55CJE,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
55332150,BO55NWD,FORD,FIESTA,Green,Petrol
55463448,BO55TGA,JEEP,"GRAND CHEROKEE",Grey,Diesel
55494265,BO55GNJ,FIAT,DUCATO,Blue,Diesel
55497099,BO55NFT,JAGUAR,XF,Black,Petrol
55501802,BO55HCM,RENAULT,TRAFIC,Blue,Diesel
55523247,BO55SNB,VOLKSWAGEN,TIGUAN,White,Diesel
55572742,BO55YPT,BENTLEY,CONTINENTAL,Green,Petrol
55666567,BO55HYD,MERCEDES-BENZ,CLS,Grey,Diesel
55727225,BO55GBG,KIA,SPORTAGE,Grey,Petrol
55764039,BO55DPO,MERCEDES-BENZ,SPRINTER,Black,Diesel
55793793,BO55UUK,AUDI,A4,White,Diesel
55801601,BO55JDK,BMW,535,Blue,Diesel
55806656,BO55DWY,LEXUS,"NX 350H TAKUMI CVT",Black,"Hybrid Electric (Clean)"
55816263,BO55PFZ,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
55937096,BO55RGL,"LAND ROVER",DISCOVERY,Grey,Diesel
55950685,BO55OSK,MERCEDES-BENZ,GLC,Grey,Diesel
56005779,BO55VWW,VOLKSWAGEN,CRAFTER,White,Diesel
56006914,BO55EVR,AUDI,A6,Grey,Diesel
56010377,BO55LPA,TOYOTA,"HILUX INVINCIB X D-4D4WD DCB A",Orange,Diesel
56055039,BO55KCR,VAUXHALL,COMBO,Black,Diesel
56061499,BO55PAU,"ASTON MARTIN",VANTAGE,Blue,Petrol
56068424,BO55EZW,MERCEDES-BENZ,A-CLASS,Black,Diesel
56081693,BO55ELX,MERCEDES-BENZ,X,Black,Diesel
56113332,BO55KHS,AUDI,TT,Multi-colour,Diesel
56114458,BO55XMB,MERCEDES-BENZ,A-CLASS,Grey,Petrol
56127655,BO55VRA,MERCEDES-BENZ,GT,Black,Petrol
56128656,BO55LFP,FORD,"TRANSIT CUSTOM 320LMTD EBLUE A",Grey,Diesel
56149067,BO55NEU,MERCEDES-BENZ,SLK,Silver,Petrol
56163228,BO55LSU,VOLKSWAGEN,TOUAREG,Blue,Diesel
56177831,BO55EZZ,BMW,"3 SERIES",Blue,Diesel
56184761,BO55DKG,PORSCHE,CAYENNE,Black,"Hybrid Electric (Clean)"
56203139,BO55DHE,FORD,ECOSPORT,Blue,Petrol
56282493,BO55CNZ,PORSCHE,CAYENNE,Grey,Petrol
56292684,BO55RJR,NISSAN,PATHFINDER,Silver,Diesel
56317034,BO55BSC,BMW,"3 SERIES",Black,Diesel
56376262,BO55DEF,"LAND ROVER",DEFENDER,Black,Diesel
56413527,BO55RYO,BMW,116,White,Petrol
56426496,BO55YET,BMW,X2,White,Petrol
56430260,BO55SHC,AUDI,A5,Red,Petrol
56437780,BO55TFM,JAGUAR,F-PACE,Grey,Diesel
56438399,BO55YZO,"LAND ROVER","RANGE ROVER",Black,Diesel
56449986,BO55ZCK,"LAND ROVER","DEFENDER SE D AUTO",Black,Diesel
56456782,BO55DNA,VOLKSWAGEN,TRANSPORTER,Red,Diesel
56459283,BO55YCD,HYUNDAI,"TUCSON N LN48V MHEV CRDI2WD SA",Red,"Electric Diesel"
56462113,BO55KVO,MERCEDES-BENZ,"CL 500",Black,Petrol
56462543,BO55JHD,JAGUAR,XKR,Blue,Petrol
56471056,BO55WMG,MERCEDES-BENZ,E,Silver,Diesel
56481758,BO55AVM,BMW,"3 SERIES",Black,Diesel
56505156,BO55FRK,TOYOTA,PRIUS,White,"Hybrid Electric (Clean)"
56549870,BO55NAX,FORD,TRANSIT,Blue,Diesel
56553056,BO55AOY,FERRARI,"CALIFORNIA 2 PLUS 2 S-A",Black,Petrol
56568942,BO55SLN,"LAND ROVER","RANGE ROVER SPORT",Blue,Diesel
56570550,BO55MED,FORD,TRANSIT,Silver,Diesel
56572071,BO55SBU,MERCEDES-BENZ,C,Black,Petrol
56593706,BO55ZES,VOLKSWAGEN,"GOLF R-LINE TDI S-A",Grey,Diesel
56599701,BO55PGT,MERCEDES-BENZ,GLA,Black,Petrol
56604213,BO55UBY,PORSCHE,CAYENNE,Grey,Diesel
56632950,BO55RMW,"LAND ROVER","RANGE ROVER EVOQUE",Green,Diesel
56634767,BO55AWJ,MERCEDES-BENZ,VIANO,Silver,Diesel
56661407,BO55RFY,BMW,"X5 M50I AUTO",Black,Petrol
56681130,BO55FJF,FORD,FIESTA,Red,Petrol
56705812,BO55PNL,"LAND ROVER",DISCOVERY,Black,Diesel
56708929,BO55EJS,"LAND ROVER","DISCOVERY HSE SDV6 AUTO",Black,Diesel
56733918,BO55PMO,RENAULT,CLIO,White,Diesel
56753756,BO55NCR,"LAND ROVER","RANGE ROVER EVOQUE",Blue,Diesel
56756290,BO55ELJ,AUDI,"A3 S LINE EDITION 1 35 TFSI",Blue,Petrol
56762746,BO55MDU,FORD,TRANSIT,Silver,Diesel
56811486,BO55AZZ,AUDI,RS3,Grey,Petrol
56828939,BO55SVK,BMW,218,Black,Petrol
56864037,BO55RBB,VOLKSWAGEN,TRANSPORTER,Purple,Diesel
56881781,BO55XXP,BMW,420,Black,Diesel
56901130,BO55APO,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
56948021,BO55AKG,MERCEDES-BENZ,C,White,Petrol
56995821,BO55NAC,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
56998845,BO55KVM,BENTLEY,CONTINENTAL,Grey,Petrol
57002724,BO55ZKA,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
57008915,BO55MAM,VOLKSWAGEN,GOLF,Red,Petrol
57015029,BO55BOW,VOLVO,XC60,Blue,Diesel
57029720,BO55YHH,"LAND ROVER","RANGE ROVER",Black,Diesel
57029788,BO55WTZ,LEXUS,UX,White,"Hybrid Electric (Clean)"
57029931,BO55ETP,FORD,KUGA,Green,Diesel
57029933,BO55DGP,JAGUAR,XF,Grey,Diesel
57029955,BO55MKK,BMW,"3 SERIES",Black,Petrol
57046058,BO55DOE,BMW,420,Blue,Diesel
57088941,BO55XYX,BMW,I8,Silver,"Hybrid Electric (Clean)"
57095016,BO55GZT,VOLKSWAGEN,TIGUAN,Grey,Diesel
57102949,BO55RFC,BMW,"3 SERIES",Brown,Petrol
57125034,BO55AAO,VOLKSWAGEN,CADDY,White,Diesel
57153576,BO55JYE,BENTLEY,CONTINENTAL,White,Petrol
57164911,BO55PBH,AUDI,A5,Black,Petrol
57166009,BO55CDB,"LAND ROVER","RANGE ROVER VELAR",Grey,Diesel
57182036,BO55SAC,BMW,R1250,Multi-colour,Petrol
57182664,BO55EAY,MERCEDES-BENZ,G-CLASS,Black,Petrol
57184028,BO55NHK,KIA,SPORTAGE,Black,Diesel
57190219,BO55JWF,FORD,RANGER,White,Diesel
57198969,BO55GXU,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
57206258,BO55ZDG,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
57207267,BO55OKR,"LAND ROVER","RANGE ROVER",Grey,Diesel
57221147,BO55TRF,IVECO,DAILY,White,Diesel
57236948,BO55AUR,MERCEDES-BENZ,C,Blue,Petrol
57239031,BO55TRY,BMW,316,Green,Petrol
57242517,BO55DMO,AUDI,A5,Red,Diesel
57242963,BO55AXM,BMW,X3,Black,Petrol
57243775,BO55SFM,"LAND ROVER",DISCOVERY,Silver,Diesel
57261886,BO55HJF,AUDI,Q2,Grey,Petrol
57268344,BO55RET,AUDI,Q5,Grey,Diesel
57279895,BO55PKE,MAZDA,3,Silver,Petrol
57282174,BO55UPH,VOLKSWAGEN,TRANSPORTER,Grey,Diesel
57304171,BO55KJO,FORD,FIESTA,Red,Petrol
57314253,BO55RRT,BMW,435,Black,Diesel
57315277,BO55SEK,BMW,"M4 COMPETITION M XDRIVE AUTO",Brown,Petrol
57324373,BO55AKD,FIAT,DOBLO,Multi-colour,Diesel
57328344,BO55KBG,"LAND ROVER","RANGE ROVER",Silver,Diesel
57337340,BO55SKW,MERCEDES-BENZ,"GLC 300 AMG LINE PREM + E 4M A",Blue,"Hybrid Electric (Clean)"
57358692,BO55DYR,BMW,"X2 SDRIVE20I M SPORT AUTO",White,Petrol
57363250,BO55VEZ,HYUNDAI,TUCSON,Black,Petrol
57364106,BO55RJZ,MERCEDES-BENZ,C,White,Petrol
57376960,BO55JJD,MINI,COOPER,Red,Petrol
57420396,BO55LWT,AUDI,"Q7 S LINE 45 TDI MHEV QUAT A",Blue,Diesel
57426562,BO55OZA,MERCEDES-BENZ,"GLE 350 AMG LINE DE 4MATIC A",Black,"Electric Diesel"
57438874,BO55EUS,JAGUAR,XE,Black,Diesel
57444786,BO55RPK,FORD,EDGE,Orange,Diesel
57457084,BO55BMO,SUZUKI,JIMNY,White,Petrol
57471367,BO55ZAW,"LAND ROVER","DISCOVERY SPORT",Black,Diesel
57471398,BO55WRX,TOYOTA,"GR YARIS 4WD",Red,Petrol
57486314,BO55KHE,"LAND ROVER",FREELANDER,White,Diesel
57513795,BO55TTT,TESLA,"MODEL Y LONG RANGE AWD",White,Electric
57529985,BO55JBM,VOLKSWAGEN,TRANSPORTER,Silver,Diesel
57537113,BO55FXR,"LAND ROVER","RANGE ROVER SPORT",Blue,Diesel
57541434,BO55CJK,FORD,RANGER,Black,Diesel
57550070,BO55TNR,MERCEDES-BENZ,E,Silver,Diesel
57584977,BO55COO,MERCEDES-BENZ,E,Silver,Diesel
57591726,BO55PGS,"LAND ROVER",FREELANDER,Red,Diesel
57600703,BO55RPF,FORD,"TRANSIT CONNECT",White,Diesel
57601083,BO55NGL,FIAT,"ROLLER TEAM",White,Diesel
57623967,BO55PPO,BMW,"5 SERIES",Black,Diesel
57640882,BO55BDA,BMW,435,Grey,Petrol
57655091,BO55LBL,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
57664996,BO55CKL,PEUGEOT,208,White,Petrol
57666210,BO55ZJM,JAGUAR,F-TYPE,Silver,Petrol
57686065,BO55LJK,VOLVO,XC40,Grey,Diesel
57698930,BO55DSG,AUDI,A3,Blue,Petrol
57700249,BO55GEY,FORD,RANGER,Grey,Diesel
57717801,BO55GJL,VAUXHALL,ZAFIRA,Silver,Diesel
57727791,BO55ESR,FORD,ECOSPORT,Blue,Petrol
57728752,BO55TVT,BMW,X5,White,Diesel
57728864,BO55LHY,BMW,"X2 SDRIVE20I SPORT AUTO",Black,Petrol
57754853,BO55HOP,BMW,750,Grey,Petrol
57759697,BO55LSA,MINI,COOPER,Black,Petrol
57765832,BO55FLF,KIA,SPORTAGE,Black,Petrol
57777005,BO55DEJ,"LAND ROVER","R ROVER SPRT HSE SLVR D MHEV A",Grey,Diesel
57801699,BO55WTB,NISSAN,NAVARA,Black,Diesel
57810774,BO55KJC,"LAND ROVER","RANGE ROVER VELAR",Black,Petrol
57829213,BO55PWL,"LAND ROVER","RANGE ROVER",Grey,Diesel
57842360,BO55PNJ,MERCEDES-BENZ,E,White,Diesel
57844964,BO55ZEK,AUDI,Q5,White,Diesel
57899179,BO55EMA,MERCEDES-BENZ,CLA,Purple,Diesel
57903442,BO55JGO,VOLKSWAGEN,TOUAREG,White,Diesel
57906827,BO55FAW,BMW,X5,White,Diesel
57922659,BO55VVB,VAUXHALL,"VIVARO 2900 DYNAMIC S/S",White,Diesel
57929436,BO55GLS,MERCEDES-BENZ,SPRINTER,Silver,Diesel
57940231,BO55COM,SKODA,SUPERB,Grey,Diesel
57941928,BO55EAR,AUDI,"SQ7 VORSPRUNG TFSI QUATTRO A",Silver,Petrol
57948146,BO55ADR,VOLKSWAGEN,CADDY,Grey,Diesel
57964208,BO55RBH,FORD,"TRANSIT CUSTOM 280LIMITD EBLUE",Black,Diesel
57969447,BO55JUZ,"LAND ROVER",DEFENDER,Green,Diesel
57972213,BO55WSW,FIAT,DOBLO,White,Diesel
57973320,BO55NJP,HYUNDAI,TUCSON,Black,Petrol
57986067,BO55NVT,FORD,"TOURNEO CONNECT",Orange,Diesel
58013936,BO55KJJ,AUDI,Q7,White,Diesel
58015718,BO55GHL,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
58041528,BO55KXC,MERCEDES-BENZ,E,Black,Diesel
58070543,BO55RMK,BENTLEY,CONTINENTAL,Red,Petrol
58074285,BO55AXO,BMW,"3 SERIES",Silver,Diesel
58074573,BO55AEE,"LAND ROVER","RANGE ROVER",Gold,Diesel
58075132,BO55ZFW,PORSCHE,BOXSTER,Grey,Petrol
58078747,BO55SWT,"LAND ROVER","RANGE ROVER SPORT",Red,Diesel
58082747,BO55NKE,"LAND ROVER","RROVER EVOQUE R-DYN SE P300E A",White,"Hybrid Electric (Clean)"
58101298,BO55DOT,BMW,"5 SERIES",Black,"Hybrid Electric (Clean)"
58106009,BO55KVH,MERCEDES-BENZ,"E 220 AMG LNE NGT ED PRM + D A",Silver,Diesel
58113764,BO55OGB,"LAND ROVER","RANGE ROVER VELAR",Black,Diesel
58116092,BO55MFZ,BMW,"1 SERIES",Black,Diesel
58122969,BO55YOW,"LAND ROVER","RANGE ROVER EVOQUE",Black,Diesel
58132703,BO55CXN,BMW,"1 SERIES",Blue,Diesel
58144699,BO55ALO,BMW,118,Grey,Petrol
58147011,BO55OKO,MERCEDES-BENZ,"GLC 300 AMG LINE PREM + D 4M A",White,Diesel
58193021,BO55SBX,PORSCHE,PANAMERA,Silver,Petrol
58215467,BO55BWW,MERCEDES-BENZ,E,White,Diesel
58227136,BO55REU,BMW,"7 SERIES",Black,Diesel
58231644,BO55NDM,FORD,TRANSIT,Black,Diesel
58234941,BO55OPK,VOLKSWAGEN,POLO,Black,Petrol
58256377,BO55FHB,"LAND ROVER","RANGE ROVER SPORT HSE AUTO",Silver,Petrol
58293867,BO55YYB,BMW,X5,Black,"Hybrid Electric (Clean)"
58296260,BO55DYA,AUDI,A7,White,Diesel
58296677,BO55CGP,ABARTH,595,Blue,Petrol
58300167,BO55AHN,BMW,X5,Black,Diesel
58301466,BO55BPN,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
58301596,BO55WHX,BMW,M4,Blue,Petrol
58303678,BO55JVT,MERCEDES-BENZ,CLS,Black,Diesel
58311370,BO55YNE,MITSUBISHI,L200,White,Diesel
58315857,BO55DUL,AUDI,A7,Black,Diesel
58333500,BO55OGV,FORD,RANGER,Green,Diesel
58340764,BO55BKX,FORD,FIESTA,Black,Diesel
58353935,BO55ARN,BMW,X4,Black,Diesel
58361136,BO55WTP,MITSUBISHI,"L200 BARBARIAN X DI-D AUTO",Black,Diesel
58366734,BO55GNK,MAZDA,3,Grey,Petrol
58373230,BO55OGJ,FORD,RANGER,White,Diesel
58376188,BO55TPF,VOLVO,XC40,Bronze,Diesel
58380109,BO55RUJ,SKODA,KODIAQ,Black,Petrol
58380407,BO55PHN,AUDI,A1,Black,Diesel
58380525,BO55WJC,"LAND ROVER","R ROVER EVOQUE FIRST EDITION A",Grey,Petrol
58406021,BO55RJS,VOLKSWAGEN,CRAFTER,Grey,Diesel
58434631,BO55NOV,NISSAN,"JUKE TEKNA + DIG-T",Red,Petrol
58436835,BO55NBT,VOLVO,S90,Silver,Diesel
58460196,BO55OCC,VOLKSWAGEN,POLO,White,Petrol
58470178,BO55NOM,PORSCHE,macan,Black,Petrol
58470255,BO55ZHX,MERCEDES-BENZ,A,Black,Petrol
58471307,BO55RJP,KIA,SPORTAGE,Black,Diesel
58487797,BO55WRM,VOLKSWAGEN,CADDY,White,Diesel
58496525,BO55YKL,"LAND ROVER",DISCOVERY,White,Diesel
58496693,BO55AGA,MASERATI,"LEVANTE S AUTO",Blue,Petrol
58518197,BO55UKX,MERCEDES-BENZ,S-Class,Silver,Diesel
58522567,BO55MEP,MERCEDES-BENZ,S-Class,Black,Diesel
58539912,BO55ECE,"LAND ROVER","DISCOVERY HSE D MHEV AUTO",Grey,Diesel
58557646,BO55WBM,MERCEDES-BENZ,GLE,White,Diesel
58558899,BO55BVV,"LAND ROVER","R ROVER VELAR RDYN HSE DMHEV A",Silver,Diesel
58559641,BO55XCC,MINI,COUNTRYMAN,White,Diesel
58614696,BO55JJG,BMW,"5 SERIES",Blue,"Hybrid Electric (Clean)"
58622170,BO55HLX,TOYOTA,"HILUX INVINCIBLE X D-4D4WD DCB",Bronze,Diesel
58638939,BO55CEM,BMW,X6,White,Diesel
58665406,BO55KAA,MERCEDES-BENZ,C,White,Diesel
58666908,BO55KYO,HYUNDAI,I30,Blue,Diesel
58677211,BO55JOY,KIA,SPORTAGE,Red,Petrol
58720749,BO55LFT,MERCEDES-BENZ,C,Silver,Petrol
58723373,BO55SBK,ISUZU,D-MAX,Black,Diesel
58746803,BO55DST,JAGUAR,F-PACE,Grey,Diesel
58746825,BO55PGB,FORD,RANGER,Grey,Diesel
58746901,BO55GEL,BMW,X3,Black,Diesel
58765179,BO55UKK,SEAT,LEON,White,Petrol
58773815,BO55STS,DODGE,UNKNOWN,Black,Petrol
58777890,BO55BDF,BMW,I3,Grey,"Hybrid Electric (Clean)"
58782955,BO55OYB,"LAND ROVER","DEFENDER XDYNAMIC HSE D MHEV A",Grey,Diesel
58789134,BO55JCM,BMW,"3 SERIES",Blue,Petrol
58789287,BO55CAP,MITSUBISHI,OUTLANDER,Brown,"Hybrid Electric (Clean)"
58798034,BO55ARL,BMW,"X7 XDRIVE40D M SPORT MHEV AUTO",White,"Electric Diesel"
58823016,BO55WEW,AUDI,A6,White,Diesel
58827555,BO55WPT,MERCEDES-BENZ,B-CLASS,Silver,Diesel
58850568,BO55PUN,BMW,420,Black,Petrol
58868937,BO55EJP,HONDA,"JAZZ EX I-MMD CVT",Blue,"Hybrid Electric (Clean)"
58875032,BO55LWB,NISSAN,NAVARA,Black,Diesel
58910892,BO55SHP,BMW,"8 SERIES",Black,Petrol
58927940,BO55GRZ,FORD,"TRANSIT CUSTOM",Grey,Diesel
58930832,BO55LCY,FORD,FIESTA,Grey,Petrol
58946465,BO55KDN,"LAND ROVER","RANGE ROVER SPORT",Blue,Petrol
58956124,BO55EVZ,MERCEDES-BENZ,C,Silver,Diesel
58963978,BO55RFX,"LAND ROVER","R ROVER EVOQUE R-DYN S D 4X2",White,Diesel
58968136,BO55HPP,AUDI,"Q3 S LINE EDITION 1 35 TDI S-A",White,Diesel
59005902,BO55PRM,BMW,"330E M SPORT AUTO",Blue,"Hybrid Electric (Clean)"
59010791,BO55CJC,FORD,"TRANSIT CUSTOM 280LIMITD EBLUE",White,Diesel
59027908,BO55JNV,HYUNDAI,"SANTA FE",Brown,Diesel
59039655,BO55JLH,FORD,FOCUS,Black,Petrol
59041500,BO55FPT,"LAND ROVER",DISCOVERY,Black,Diesel
59071965,BO55HCG,"LAND ROVER","RANGE ROVER",Grey,Diesel
59072284,BO55WBE,MERCEDES-BENZ,SPRINTER,Silver,Diesel
59072316,BO55EKT,MERCEDES-BENZ,GLC,Black,Diesel
59079777,BO55USF,AUDI,A6,Blue,Diesel
59082400,BO55AHF,CITROEN,BERLINGO,Blue,Diesel
59105780,BO55GLZ,VOLKSWAGEN,GOLF,Grey,Diesel
59110678,BO55XXM,BMW,330,Black,"Hybrid Electric (Clean)"
59127324,BO55VMX,TRIUMPH,TIGER,Green,Petrol
59129140,BO55ZNH,JEEP,COMPASS,Blue,Diesel
59162767,BO55SJB,TOYOTA,HILUX,Black,Diesel
59171164,BO55UMX,VOLKSWAGEN,"ARTEON R-LINE BITDI SCR 4M SA",Blue,Diesel
59171608,BO55LUS,FORD,"TRANSIT CUSTOM 320LMTD EBLUE A",Silver,Diesel
59185165,BO55OAT,MINI,"JOHN COOPER WORKS",Grey,Petrol
59188034,BO55FGN,AUDI,TT,White,Petrol
59189203,BO55MYR,JEEP,"GRAND CHEROKEE",Black,Diesel
59200396,BO55MXM,"LAND ROVER",DEFENDER,Red,Diesel
59203868,BO55TAP,"LAND ROVER","RANGE ROVER SPORT",Red,Diesel
59224007,BO55VME,BMW,X1,Black,Diesel
59230097,BO55EHO,KIA,SPORTAGE,White,Petrol
59241382,BO55ZEO,MERCEDES-BENZ,C,Red,Petrol
59269268,BO55WON,MERCEDES-BENZ,GLC,Black,Petrol
59275472,BO55VSL,BMW,"X5 XDRIVE45E M SPORT AUTO",Black,"Hybrid Electric (Clean)"
59295226,BO55KJS,BMW,"6 SERIES",White,Diesel
59305689,BO55CSO,FORD,MUSTANG,Grey,Petrol
59327165,BO55YCH,PEUGEOT,5008,Black,Diesel
59336635,BO55WGN,HONDA,STEPWAGON,Blue,Petrol
59342277,BO55RRA,"LAND ROVER","RANGE ROVER",White,Diesel
59344422,BO55KWC,VOLKSWAGEN,"TIGUAN MATCH TDI",Grey,Diesel
59358666,BO55TJF,JAGUAR,F-TYPE,Red,Petrol
59362814,BO55TKB,"LAND ROVER",DISCOVERY,Grey,Diesel
59381681,BO55RCJ,NISSAN,QASHQAI,Black,Petrol
59396399,BO55LFC,MERCEDES-BENZ,E,White,Diesel
59398047,BO55SHJ,VOLKSWAGEN,POLO,Black,Petrol
59403130,BO55TXM,MERCEDES-BENZ,E,White,Diesel
59415797,BO55PWS,VOLKSWAGEN,AMAROK,Black,Diesel
59418512,BO55TYN,FORD,RANGER,White,Diesel
59420741,BO55PYE,FORD,FIESTA,Blue,Diesel
59428952,BO55BMC,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
59429340,BO55SPL,FORD,EDGE,Black,Diesel
59474273,BO55AKW,FORD,MUSTANG,Black,Petrol
59486708,BO55RYY,MITSUBISHI,L200,White,Diesel
59502524,BO55ECL,JAGUAR,"F-PACE RDYNAM HSE D MHEV AWD A",Grey,Diesel
59502547,BO55VHP,TOYOTA,"HILUX INVINCIB X D-4D4WD DCB A",Grey,Diesel
59521928,BO55NAZ,MERCEDES-BENZ,"GLB 200 AMG LINE PREMIUM D A",White,Diesel
59531816,BO55WDA,VOLKSWAGEN,"TRANSPORTER T28 H-LINE TDI S-A",Grey,Diesel
59558955,BO55VTU,"LAND ROVER","RANGE ROVER VELAR",Black,Diesel
59596523,BO55NPG,AUDI,Q5,Grey,Petrol
59614875,BO55GXG,VOLKSWAGEN,GOLF,Black,Petrol
59622005,BO55JOO,VOLKSWAGEN,TIGUAN,Grey,Diesel
59640836,BO55URY,AUDI,Q5,Blue,Petrol
59654973,BO55OSS,VOLKSWAGEN,TRANSPORTER,Blue,Diesel
59664747,BO55NLC,"LAND ROVER","RANGE ROVER",White,Diesel
59690195,BO55LSD,VOLKSWAGEN,T-ROC,Silver,Petrol
59691594,BO55SPZ,BMW,"1 SERIES",Black,Petrol
59695318,BO55TSO,AUDI,A4,White,Petrol
59695666,BO55TRA,VOLKSWAGEN,TIGUAN,Blue,Diesel
59700070,BO55DUY,"LAND ROVER","RANGE ROVER VELAR",White,Diesel
59718203,BO55FLP,VOLKSWAGEN,GOLF,Yellow,Petrol
